"type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name__001","properties__name__002","properties__address__street","properties__address__zipcode","properties__address__city","properties__owner__001","properties__owner__002","properties__photo_taken","properties__source"
"Feature","Point","4.753675","52.280356","Maincubes AMS01 Schiphol","","Capronilaan 2 1119NR","Schiph ol","Rijk","Maincubes B.V.","","False","datacentermap.com"
"Feature","Point","4.765043","52.281252","atom86","","Boeing Avenue 271 1119PD","Schiph ol","Rijk","atom86","","False","datacentermap.com"
"Feature","Point","4.772861","52.282192","Cogent Datacenter Halfweg","","Haarlemmerstraatweg 135","1165 MK","Halfweg","Cogent Communications, Inc.","","False","datacentermap.com"
"Feature","Point","4.750866","52.274896","NLDC Datacenter Amsterdam 2 ","","Lakenblekerstraat 13","1431 GE","Aalsmeer","NLDC","","False","datacentermap.com"
"Feature","Point","4.717155","52.384505","Datahouse Datacenters","","Professor van der Waalsstraat","1821 BT","Alkmaar","Datahouse Datacenters","","False","datacentermap.com"
"Feature","Point","4.773709","52.259264","Signet","","Science Park Eindhoven 5218","5692 EG","Son","Signet","","False","datacentermap.com"
"Feature","Point","4.76981","52.625046","TeDoc Web Management","","Kerkstraat 26","8471 CD","Wolvega","TeDoc Web Management","","False","datacentermap.com"
"Feature","Point","5.460506","51.501266","Zeelandnet","","Het Rip 9","4493 RL","Kamperland","Zeelandnet","","False","datacentermap.com"
"Feature","Point","5.997082","52.876458","KPN Datacenter Flevoland","","Rondebeltweg 62","1329 BG","Almere","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","3.700106","51.574114","Vancis Almere","","Randstad 22 153","1316 BM","Almere","Vancis","","False","datacentermap.com"
"Feature","Point","5.268793","52.364353","Final Frontier","","Cypergrasweg 3C","1313 AK","Almere","Final Frontier","","False","datacentermap.com"
"Feature","Point","5.229227","52.378152","Mihos BV","","Striptekenaar 76","1336 CM","Almere","Mihos BV","","False","datacentermap.com"
"Feature","Point","5.204234","52.38546","UNET Almere","","Transistorstraat 7c","1322 CJ","Almere","UNET Almere","","False","datacentermap.com"
"Feature","Point","5.321596","52.40744","KPN Datacenter Apeldoorn","","Fauststraat 1","7323 BA","Apeldoorn","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","5.182618","52.346588","Computel Datacenter Gelderland","","Schumanpark 29-31","7336 AM","Apeldoorn","Computel","","False","datacentermap.com"
"Feature","Point","5.976736","52.232416","ITB2 Datacenter Apeldoorn","","Grote Woudhuis 5","7325 WM","Apeldoorn","ITB2","","False","datacentermap.com"
"Feature","Point","5.943514","52.194743","Solcon Apeldoorn","","Laan van de Ram 39","7324 BW","Apeldoorn","Solcon","","False","datacentermap.com"
"Feature","Point","6.026183","52.199554","KPN Datacenter Eindhoven","","High Tech Campus 53","5656 AG","Eindhoven","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","6.001603","52.24703","EcoRacks","","Ambachtsweg 25-27","5627 BZ","Eindhoven","EcoRacks","","False","datacentermap.com"
"Feature","Point","5.45911","51.40762","Interconnect Eindhoven","","Park Forum 1041","5657 HJ","Eindhoven","Interconnect","","False","datacentermap.com"
"Feature","Point","5.440275","51.478509","KPN Datacenter Haarlem","","A. Hofmanweg 1","2031 BH","Haarlem","Koninklijke KPN N.V","","False","datacentermap.com"
"Feature","Point","5.387441","51.442134","Alticom Datacenter Haarlem","","A. Hofmanweg 1","2031 BH","Haarlem","Alticom","Cellnex Telecom","False","datacentermap.com"
