"type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name__001","properties__name__002","properties__address__street","properties__address__zipcode","properties__address__city","properties__owner__001","properties__owner__002","properties__photo_taken","properties__source"
"Feature","Point","5.620858","51.477539","e-Quest Datacenter","","Schootense Dreef 26","5708 HZ","Helmond","e-Quest Datacenter","","False","datacentermap.com"
"Feature","Point","5.257389","51.801263","DC Zaltbommel (DCZA)","","Hogeweg 3","5301 LB","Zalt Bommel","DC Zaltbommel (DCZA)","","False","datacentermap.com"
"Feature","Point","5.825214","51.824519","Digital Residence","","Jonkerbosplein 52","6534 AB","Nijmegen","Digital Residence","","False","datacentermap.com"
"Feature","Point","6.195004","52.238602","ITB2 Datacenter Deventer","","Herfordstraat 18","7418 EX","Deventer","ITB2","","False","datacentermap.com"
"Feature","Point","6.203004","52.238553","Green Data Systems","","Rigastraat 18","7418 EW","Deventer","Green Data Systems","","False","datacentermap.com"
"Feature","Point","6.203004","52.238553","1TransVir","","Rigastraat 18","7418 EW","Deventer","1TransVir","","False","datacentermap.com"
"Feature","Point","6.300252","51.954184","DataCentrum Doetinchem","","Gildenbroederslaan 1","7005 BM","Doetinchem","NovoServe","","False","datacentermap.com"
"Feature","Point","5.705215","52.543666","Serverius SDC1","","De Linge 26","8253 PJ","Dronten","Serverius","","False","datacentermap.com"
"Feature","Point","5.702179","52.539145","Solcon, locatie Dronten","","Het Spaarne 11","8253 PE","Dronten","Solcon","","False","datacentermap.com"
"Feature","Point","5.624974","52.030762","BIT-1","","Kelvinstraat 63-67","6716 BV","Ede","BIT","","False","datacentermap.com"
"Feature","Point","5.624266","52.027428","BIT-2A","","Galileïlaan 19","6716 BP","Ede","BIT","","False","datacentermap.com"
"Feature","Point","5.624266","52.027428","BIT-2B","","Galileïlaan 19","6716 BP","Ede","BIT","","False","datacentermap.com"
"Feature","Point","5.624266","52.027428","BIT-2C","","Galileïlaan 19","6716 BP","Ede","BIT","","False","datacentermap.com"
"Feature","Point","5.624266","52.027428","BIT-2D","","Galileïlaan 19","6716 BP","Ede","BIT","","False","datacentermap.com"
"Feature","Point","3.910038","51.501483","CyberBunker","","Zomerweg","4481 CA","Kloetinge","CyberBunker","","False","datacentermap.com"
"Feature","Point","4.496307","52.033223","ColoCenter","","Heliumstraat 200","2718 RS","Zoetermeer","ColoCenter","","False","datacentermap.com"
"Feature","Point","5.039590","52.764930","Microsoft North Amsterdam Data Center Campus","","Agriport 601","1775 TK","Middenmeer","Microsoft","","False","datacentermap.com"
